date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-03-03,SKU_0001,127,0,14.0,94
2024-03-10,SKU_0001,113,0,14.0,94
2024-03-17,SKU_0001,103,0,14.0,94
2024-03-24,SKU_0001,101,0,14.0,94
2024-03-31,SKU_0001,88,165,14.0,94
2024-04-07,SKU_0001,74,58,14.0,94
2024-04-14,SKU_0001,59,132,14.0,94
2024-04-21,SKU_0001,221,0,14.0,94
2024-04-28,SKU_0001,158,0,14.0,94
2024-05-05,SKU_0001,121,0,14.0,94
2024-05-12,SKU_0001,113,0,14.0,94
2024-05-19,SKU_0001,112,0,14.0,94
2024-05-26,SKU_0001,96,0,14.0,94
2024-06-02,SKU_0001,248,0,14.0,94
2024-06-09,SKU_0001,233,0,14.0,94
2024-06-16,SKU_0001,185,0,14.0,94
2024-06-23,SKU_0001,172,0,14.0,94
2024-06-30,SKU_0001,160,0,14.0,94
2024-07-07,SKU_0001,155,0,14.0,94
2024-07-14,SKU_0001,140,0,14.0,94
2024-07-21,SKU_0001,102,0,14.0,94
2024-07-28,SKU_0001,76,94,14.0,94
2024-08-04,SKU_0001,68,91,14.0,94
2024-08-11,SKU_0001,233,0,14.0,94
2024-08-18,SKU_0001,227,0,14.0,94
2024-08-25,SKU_0001,217,0,14.0,94
2024-09-01,SKU_0001,154,0,14.0,94
2024-09-08,SKU_0001,129,0,14.0,94
2024-09-15,SKU_0001,262,0,14.0,94
2024-09-22,SKU_0001,256,0,14.0,94
2024-09-29,SKU_0001,200,0,14.0,94
2024-10-06,SKU_0001,186,0,14.0,94
2024-10-13,SKU_0001,140,0,14.0,94
2024-10-20,SKU_0001,113,0,14.0,94
2024-10-27,SKU_0001,105,0,14.0,94
2024-11-03,SKU_0001,101,0,14.0,94
2024-11-10,SKU_0001,93,154,14.0,94
2024-11-17,SKU_0001,146,0,14.0,94
2024-11-24,SKU_0001,121,0,14.0,94
2024-12-01,SKU_0001,88,152,14.0,94
2024-12-08,SKU_0001,258,0,14.0,94
2024-12-15,SKU_0001,204,0,14.0,94
2024-12-22,SKU_0001,184,0,14.0,94
2024-12-29,SKU_0001,161,0,14.0,94
2023-01-01,SKU_0002,181,0,14.0,34
2023-01-08,SKU_0002,178,0,14.0,34
2023-01-15,SKU_0002,127,0,14.0,34
2023-01-22,SKU_0002,114,0,14.0,34
2023-01-29,SKU_0002,81,0,14.0,34
2023-02-05,SKU_0002,76,0,14.0,34
2023-02-12,SKU_0002,73,0,14.0,34
2023-02-19,SKU_0002,57,0,14.0,34
2023-02-26,SKU_0002,56,0,14.0,34
2023-03-05,SKU_0002,47,0,14.0,34
2023-03-12,SKU_0002,40,0,14.0,34
2023-03-19,SKU_0002,30,57,14.0,34
2023-03-26,SKU_0002,152,0,14.0,34
2023-04-02,SKU_0002,117,0,14.0,34
2023-04-09,SKU_0002,94,0,14.0,34
2023-04-16,SKU_0002,76,0,14.0,34
2023-04-23,SKU_0002,57,0,14.0,34
2023-04-30,SKU_0002,52,0,14.0,34
2023-05-07,SKU_0002,47,0,14.0,34
2023-05-14,SKU_0002,39,0,14.0,34
2023-05-21,SKU_0002,37,0,14.0,34
2023-05-28,SKU_0002,34,0,14.0,34
2023-06-04,SKU_0002,32,99,14.0,34
2023-06-11,SKU_0002,152,0,14.0,34
2023-06-18,SKU_0002,120,0,14.0,34
2023-06-25,SKU_0002,109,0,14.0,34
2023-07-02,SKU_0002,97,0,14.0,34
2023-07-09,SKU_0002,85,0,14.0,34
2023-07-16,SKU_0002,62,0,14.0,34
2023-07-23,SKU_0002,52,0,14.0,34
2023-07-30,SKU_0002,48,0,14.0,34
2023-08-06,SKU_0002,46,0,14.0,34
2023-08-13,SKU_0002,38,0,14.0,34
2023-08-20,SKU_0002,35,0,14.0,34
2023-08-27,SKU_0002,31,86,14.0,34
2023-09-03,SKU_0002,28,155,14.0,34
2023-09-10,SKU_0002,74,0,14.0,34
2023-09-17,SKU_0002,57,0,14.0,34
2023-09-24,SKU_0002,42,0,14.0,34
2023-10-01,SKU_0002,38,0,14.0,34
2023-10-08,SKU_0002,119,0,14.0,34
2023-10-15,SKU_0002,117,0,14.0,34
2023-10-22,SKU_0002,111,0,14.0,34
2023-10-29,SKU_0002,81,0,14.0,34
2023-11-05,SKU_0002,74,0,14.0,34
2023-11-12,SKU_0002,61,0,14.0,34
2023-11-19,SKU_0002,61,0,14.0,34
2023-11-26,SKU_0002,48,0,14.0,34
2023-12-03,SKU_0002,43,0,14.0,34
2023-12-10,SKU_0002,35,0,14.0,34
2023-12-17,SKU_0002,34,0,14.0,34
2023-12-24,SKU_0002,31,163,14.0,34
2023-12-31,SKU_0002,22,101,14.0,34
2024-01-07,SKU_0002,22,98,14.0,34
2024-01-14,SKU_0002,122,0,14.0,34
2024-01-21,SKU_0002,93,0,14.0,34
2024-01-28,SKU_0002,84,0,14.0,34
2024-02-04,SKU_0002,74,0,14.0,34
2024-02-11,SKU_0002,74,0,14.0,34
2024-02-18,SKU_0002,65,0,14.0,34
2024-02-25,SKU_0002,63,0,14.0,34
2024-03-03,SKU_0002,61,0,14.0,34
2024-03-10,SKU_0002,48,0,14.0,34
2024-03-17,SKU_0002,43,0,14.0,34
2024-03-24,SKU_0002,41,0,14.0,34
2024-03-31,SKU_0002,37,0,14.0,34
2024-04-07,SKU_0002,26,113,14.0,34
2024-04-14,SKU_0002,138,0,14.0,34
2024-04-21,SKU_0002,118,0,14.0,34
2024-04-28,SKU_0002,95,0,14.0,34
2024-05-05,SKU_0002,77,0,14.0,34
2024-05-12,SKU_0002,59,0,14.0,34
2024-05-19,SKU_0002,59,0,14.0,34
2024-05-26,SKU_0002,42,0,14.0,34
2024-06-02,SKU_0002,36,0,14.0,34
2024-06-09,SKU_0002,27,144,14.0,34
2024-06-16,SKU_0002,88,0,14.0,34
2024-06-23,SKU_0002,74,0,14.0,34
2024-06-30,SKU_0002,53,0,14.0,34
2024-07-07,SKU_0002,41,0,14.0,34
2024-07-14,SKU_0002,41,0,14.0,34
2024-07-21,SKU_0002,39,0,14.0,34
2024-07-28,SKU_0002,34,0,14.0,34
2024-08-04,SKU_0002,31,154,14.0,34
2024-08-11,SKU_0002,29,79,14.0,34
2024-08-18,SKU_0002,149,0,14.0,34
2024-08-25,SKU_0002,139,0,14.0,34
2024-09-01,SKU_0002,126,0,14.0,34
2024-09-08,SKU_0002,125,0,14.0,34
2024-09-15,SKU_0002,122,0,14.0,34
2024-09-22,SKU_0002,86,0,14.0,34
2024-09-29,SKU_0002,68,0,14.0,34
2024-10-06,SKU_0002,62,0,14.0,34
2024-10-13,SKU_0002,50,0,14.0,34
2024-10-20,SKU_0002,35,0,14.0,34
2024-10-27,SKU_0002,134,0,14.0,34
2024-11-03,SKU_0002,127,0,14.0,34
2024-11-10,SKU_0002,101,0,14.0,34
2024-11-17,SKU_0002,94,0,14.0,34
2024-11-24,SKU_0002,90,0,14.0,34
2024-12-01,SKU_0002,77,0,14.0,34
2024-12-08,SKU_0002,62,0,14.0,34
2024-12-15,SKU_0002,48,0,14.0,34
2024-12-22,SKU_0002,44,0,14.0,34
2024-12-29,SKU_0002,38,0,14.0,34
2023-01-01,SKU_0003,472,0,21.0,94
2023-01-08,SKU_0003,420,0,21.0,94
2023-01-15,SKU_0003,369,0,21.0,94
2023-01-22,SKU_0003,304,0,21.0,94
2023-01-29,SKU_0003,222,0,21.0,94
2023-02-05,SKU_0003,158,0,21.0,94
2023-02-12,SKU_0003,118,0,21.0,94
2023-02-19,SKU_0003,117,0,21.0,94
2023-02-26,SKU_0003,106,0,21.0,94
2023-03-05,SKU_0003,206,0,21.0,94
2023-03-12,SKU_0003,158,0,21.0,94
2023-03-19,SKU_0003,157,0,21.0,94
2023-03-26,SKU_0003,138,0,21.0,94
2023-04-02,SKU_0003,138,0,21.0,94
2023-04-09,SKU_0003,125,0,21.0,94
2023-04-16,SKU_0003,115,0,21.0,94
2023-04-23,SKU_0003,211,0,21.0,94
2023-04-30,SKU_0003,176,0,21.0,94
2023-05-07,SKU_0003,164,0,21.0,94
2023-05-14,SKU_0003,119,0,21.0,94
2023-05-21,SKU_0003,104,0,21.0,94
2023-05-28,SKU_0003,207,0,21.0,94
2023-06-04,SKU_0003,167,0,21.0,94
2023-06-11,SKU_0003,164,0,21.0,94
2023-06-18,SKU_0003,135,0,21.0,94
2023-06-25,SKU_0003,100,0,21.0,94
2023-07-02,SKU_0003,89,134,21.0,94
2023-07-09,SKU_0003,147,0,21.0,94
2023-07-16,SKU_0003,139,0,21.0,94
2023-07-23,SKU_0003,139,0,21.0,94
2023-07-30,SKU_0003,117,0,21.0,94
2023-08-06,SKU_0003,95,0,21.0,94
2023-08-13,SKU_0003,88,79,21.0,94
2023-08-20,SKU_0003,82,166,21.0,94
2023-08-27,SKU_0003,252,0,21.0,94
2023-09-03,SKU_0003,243,0,21.0,94
2023-09-10,SKU_0003,230,0,21.0,94
2023-09-17,SKU_0003,172,0,21.0,94
2023-09-24,SKU_0003,124,0,21.0,94
2023-10-01,SKU_0003,109,0,21.0,94
2023-10-08,SKU_0003,99,0,21.0,94
2023-10-15,SKU_0003,125,0,21.0,94
2023-10-22,SKU_0003,105,0,21.0,94
2023-10-29,SKU_0003,85,174,21.0,94
2023-11-05,SKU_0003,179,0,21.0,94
2023-11-12,SKU_0003,172,0,21.0,94
2023-11-19,SKU_0003,145,0,21.0,94
2023-11-26,SKU_0003,139,0,21.0,94
2023-12-03,SKU_0003,131,0,21.0,94
2023-12-10,SKU_0003,131,0,21.0,94
2023-12-17,SKU_0003,96,0,21.0,94
2023-12-24,SKU_0003,73,60,21.0,94
2023-12-31,SKU_0003,54,165,21.0,94
2024-01-07,SKU_0003,124,0,21.0,94
2024-01-14,SKU_0003,94,0,21.0,94
2024-01-21,SKU_0003,164,0,21.0,94
2024-01-28,SKU_0003,137,0,21.0,94
2024-02-04,SKU_0003,126,0,21.0,94
2024-02-11,SKU_0003,96,0,21.0,94
2024-02-18,SKU_0003,91,197,21.0,94
2024-02-25,SKU_0003,69,165,21.0,94
2024-03-03,SKU_0003,115,0,21.0,94
2024-03-10,SKU_0003,112,0,21.0,94
2024-03-17,SKU_0003,112,0,21.0,94
2024-03-24,SKU_0003,90,146,21.0,94
2024-03-31,SKU_0003,77,67,21.0,94
2024-04-07,SKU_0003,60,150,21.0,94
2024-04-14,SKU_0003,126,0,21.0,94
2024-04-21,SKU_0003,105,0,21.0,94
2024-04-28,SKU_0003,94,0,21.0,94
2024-05-05,SKU_0003,89,67,21.0,94
2024-05-12,SKU_0003,66,97,21.0,94
2024-05-19,SKU_0003,48,60,21.0,94
2024-05-26,SKU_0003,39,160,21.0,94
2024-06-02,SKU_0003,152,0,21.0,94
2024-06-09,SKU_0003,116,0,21.0,94
2024-06-16,SKU_0003,101,0,21.0,94
2024-06-23,SKU_0003,84,61,21.0,94
2024-06-30,SKU_0003,200,0,21.0,94
2024-07-07,SKU_0003,170,0,21.0,94
2024-07-14,SKU_0003,150,0,21.0,94
2024-07-21,SKU_0003,131,0,21.0,94
2024-07-28,SKU_0003,115,0,21.0,94
2024-08-04,SKU_0003,106,0,21.0,94
2024-08-11,SKU_0003,96,0,21.0,94
2024-08-18,SKU_0003,78,124,21.0,94
2024-08-25,SKU_0003,204,0,21.0,94
2024-09-01,SKU_0003,152,0,21.0,94
2024-09-08,SKU_0003,119,0,21.0,94
2024-09-15,SKU_0003,118,0,21.0,94
2024-09-22,SKU_0003,102,0,21.0,94
2024-09-29,SKU_0003,237,0,21.0,94
2024-10-06,SKU_0003,186,0,21.0,94
2024-10-13,SKU_0003,175,0,21.0,94
2024-10-20,SKU_0003,123,0,21.0,94
2024-10-27,SKU_0003,113,0,21.0,94
2024-11-03,SKU_0003,87,115,21.0,94
2024-11-10,SKU_0003,64,169,21.0,94
2024-11-17,SKU_0003,53,148,21.0,94
2024-11-24,SKU_0003,47,96,21.0,94
2024-12-01,SKU_0003,131,0,21.0,94
2024-12-08,SKU_0003,122,0,21.0,94
2024-12-15,SKU_0003,97,0,21.0,94
2024-12-22,SKU_0003,81,144,21.0,94
2024-12-29,SKU_0003,66,120,21.0,94
2023-01-01,SKU_0004,307,0,21.0,41
2023-01-08,SKU_0004,284,0,21.0,41
2023-01-15,SKU_0004,246,0,21.0,41
2023-01-22,SKU_0004,184,0,21.0,41
2023-01-29,SKU_0004,140,0,21.0,41
2023-02-05,SKU_0004,132,0,21.0,41
2023-02-12,SKU_0004,115,0,21.0,41
2023-02-19,SKU_0004,90,0,21.0,41
2023-02-26,SKU_0004,70,0,21.0,41
2023-03-05,SKU_0004,54,0,21.0,41
2023-03-12,SKU_0004,49,0,21.0,41
2023-03-19,SKU_0004,45,0,21.0,41
2023-03-26,SKU_0004,132,0,21.0,41
2023-04-02,SKU_0004,97,0,21.0,41
2023-04-09,SKU_0004,86,0,21.0,41
2023-04-16,SKU_0004,73,0,21.0,41
2023-04-23,SKU_0004,58,0,21.0,41
2023-04-30,SKU_0004,42,0,21.0,41
2023-05-07,SKU_0004,182,0,21.0,41
2023-05-14,SKU_0004,177,0,21.0,41
2023-05-21,SKU_0004,141,0,21.0,41
2023-05-28,SKU_0004,109,0,21.0,41
2023-06-04,SKU_0004,108,0,21.0,41
2023-06-11,SKU_0004,90,0,21.0,41
2023-06-18,SKU_0004,77,0,21.0,41
2023-06-25,SKU_0004,64,0,21.0,41
2023-07-02,SKU_0004,52,0,21.0,41
2023-07-09,SKU_0004,37,134,21.0,41
2023-07-16,SKU_0004,158,0,21.0,41
2023-07-23,SKU_0004,153,0,21.0,41
2023-07-30,SKU_0004,151,0,21.0,41
2023-08-06,SKU_0004,136,0,21.0,41
2023-08-13,SKU_0004,125,0,21.0,41
2023-08-20,SKU_0004,118,0,21.0,41
2023-08-27,SKU_0004,115,0,21.0,41
2023-09-03,SKU_0004,105,0,21.0,41
2023-09-10,SKU_0004,82,0,21.0,41
2023-09-17,SKU_0004,62,0,21.0,41
2023-09-24,SKU_0004,45,0,21.0,41
2023-10-01,SKU_0004,35,94,21.0,41
2023-10-08,SKU_0004,28,152,21.0,41
2023-10-15,SKU_0004,21,102,21.0,41
2023-10-22,SKU_0004,146,0,21.0,41
2023-10-29,SKU_0004,122,0,21.0,41
2023-11-05,SKU_0004,117,0,21.0,41
2023-11-12,SKU_0004,87,0,21.0,41
2023-11-19,SKU_0004,66,0,21.0,41
2023-11-26,SKU_0004,66,0,21.0,41
2023-12-03,SKU_0004,64,0,21.0,41
2023-12-10,SKU_0004,50,0,21.0,41
2023-12-17,SKU_0004,44,0,21.0,41
2023-12-24,SKU_0004,118,0,21.0,41
2023-12-31,SKU_0004,107,0,21.0,41
2024-01-07,SKU_0004,92,0,21.0,41
2024-01-14,SKU_0004,75,0,21.0,41
2024-01-21,SKU_0004,65,0,21.0,41
2024-01-28,SKU_0004,46,0,21.0,41
2024-02-04,SKU_0004,44,0,21.0,41
2024-02-11,SKU_0004,43,0,21.0,41
2024-02-18,SKU_0004,202,0,21.0,41
2024-02-25,SKU_0004,161,0,21.0,41
2024-03-03,SKU_0004,152,0,21.0,41
2024-03-10,SKU_0004,115,0,21.0,41
2024-03-17,SKU_0004,100,0,21.0,41
2024-03-24,SKU_0004,81,0,21.0,41
2024-03-31,SKU_0004,68,0,21.0,41
2024-04-07,SKU_0004,68,0,21.0,41
2024-04-14,SKU_0004,63,0,21.0,41
2024-04-21,SKU_0004,45,0,21.0,41
2024-04-28,SKU_0004,33,64,21.0,41
2024-05-05,SKU_0004,158,0,21.0,41
2024-05-12,SKU_0004,142,0,21.0,41
2024-05-19,SKU_0004,102,0,21.0,41
2024-05-26,SKU_0004,83,0,21.0,41
2024-06-02,SKU_0004,76,0,21.0,41
2024-06-09,SKU_0004,73,0,21.0,41
2024-06-16,SKU_0004,57,0,21.0,41
2024-06-23,SKU_0004,55,0,21.0,41
2024-06-30,SKU_0004,39,99,21.0,41
2024-07-07,SKU_0004,31,77,21.0,41
2024-07-14,SKU_0004,84,0,21.0,41
2024-07-21,SKU_0004,64,0,21.0,41
2024-07-28,SKU_0004,53,0,21.0,41
2024-08-04,SKU_0004,47,0,21.0,41
2024-08-11,SKU_0004,36,168,21.0,41
2024-08-18,SKU_0004,33,158,21.0,41
2024-08-25,SKU_0004,184,0,21.0,41
2024-09-01,SKU_0004,153,0,21.0,41
2024-09-08,SKU_0004,129,0,21.0,41
2024-09-15,SKU_0004,98,0,21.0,41
2024-09-22,SKU_0004,96,0,21.0,41
2024-09-29,SKU_0004,93,0,21.0,41
2024-10-06,SKU_0004,86,0,21.0,41
2024-10-13,SKU_0004,82,0,21.0,41
2024-10-20,SKU_0004,71,0,21.0,41
2024-10-27,SKU_0004,55,0,21.0,41
2024-11-03,SKU_0004,39,91,21.0,41
2024-11-10,SKU_0004,29,173,21.0,41
2024-11-17,SKU_0004,155,0,21.0,41
2024-11-24,SKU_0004,122,0,21.0,41
2024-12-01,SKU_0004,114,0,21.0,41
2024-12-08,SKU_0004,84,0,21.0,41
2024-12-15,SKU_0004,83,0,21.0,41
2024-12-22,SKU_0004,74,0,21.0,41
2024-12-29,SKU_0004,73,0,21.0,41
2023-01-01,SKU_0005,243,0,14.0,22
2023-01-08,SKU_0005,197,0,14.0,22
2023-01-15,SKU_0005,194,0,14.0,22
2023-01-22,SKU_0005,188,0,14.0,22
2023-01-29,SKU_0005,161,0,14.0,22
2023-02-05,SKU_0005,147,0,14.0,22
2023-02-12,SKU_0005,125,0,14.0,22
2023-02-19,SKU_0005,118,0,14.0,22
2023-02-26,SKU_0005,98,0,14.0,22
2023-03-05,SKU_0005,70,0,14.0,22
2023-03-12,SKU_0005,68,0,14.0,22
2023-03-19,SKU_0005,50,0,14.0,22
2023-03-26,SKU_0005,47,0,14.0,22
2023-04-02,SKU_0005,34,0,14.0,22
2023-04-09,SKU_0005,28,0,14.0,22
2023-04-16,SKU_0005,25,0,14.0,22
2023-04-23,SKU_0005,19,59,14.0,22
2023-04-30,SKU_0005,15,61,14.0,22
2023-05-07,SKU_0005,177,0,14.0,22
2023-05-14,SKU_0005,135,0,14.0,22
2023-05-21,SKU_0005,132,0,14.0,22
2023-05-28,SKU_0005,121,0,14.0,22
2023-06-04,SKU_0005,89,0,14.0,22
2023-06-11,SKU_0005,88,0,14.0,22
2023-06-18,SKU_0005,71,0,14.0,22
2023-06-25,SKU_0005,64,0,14.0,22
2023-07-02,SKU_0005,54,0,14.0,22
2023-07-09,SKU_0005,43,0,14.0,22
2023-07-16,SKU_0005,40,0,14.0,22
2023-07-23,SKU_0005,40,0,14.0,22
2023-07-30,SKU_0005,37,0,14.0,22
2023-08-06,SKU_0005,27,0,14.0,22
2023-08-13,SKU_0005,23,0,14.0,22
2023-08-20,SKU_0005,191,0,14.0,22
2023-08-27,SKU_0005,171,0,14.0,22
2023-09-03,SKU_0005,156,0,14.0,22
2023-09-10,SKU_0005,139,0,14.0,22
2023-09-17,SKU_0005,113,0,14.0,22
2023-09-24,SKU_0005,94,0,14.0,22
2023-10-01,SKU_0005,74,0,14.0,22
2023-10-08,SKU_0005,74,0,14.0,22
2023-10-15,SKU_0005,65,0,14.0,22
2023-10-22,SKU_0005,59,0,14.0,22
2023-10-29,SKU_0005,47,0,14.0,22
2023-11-05,SKU_0005,34,0,14.0,22
2023-11-12,SKU_0005,26,0,14.0,22
2023-11-19,SKU_0005,181,0,14.0,22
2023-11-26,SKU_0005,139,0,14.0,22
2023-12-03,SKU_0005,112,0,14.0,22
2023-12-10,SKU_0005,83,0,14.0,22
2023-12-17,SKU_0005,65,0,14.0,22
2023-12-24,SKU_0005,60,0,14.0,22
2023-12-31,SKU_0005,54,0,14.0,22
2024-01-07,SKU_0005,48,0,14.0,22
2024-01-14,SKU_0005,38,0,14.0,22
2024-01-21,SKU_0005,30,0,14.0,22
2024-01-28,SKU_0005,30,0,14.0,22
2024-02-04,SKU_0005,27,0,14.0,22
2024-02-11,SKU_0005,25,0,14.0,22
2024-02-18,SKU_0005,18,112,14.0,22
2024-02-25,SKU_0005,132,0,14.0,22
2024-03-03,SKU_0005,106,0,14.0,22
2024-03-10,SKU_0005,95,0,14.0,22
2024-03-17,SKU_0005,83,0,14.0,22
2024-03-24,SKU_0005,81,0,14.0,22
2024-03-31,SKU_0005,72,0,14.0,22
2024-04-07,SKU_0005,71,0,14.0,22
2024-04-14,SKU_0005,56,0,14.0,22
2024-04-21,SKU_0005,42,0,14.0,22
2024-04-28,SKU_0005,34,0,14.0,22
2024-05-05,SKU_0005,30,0,14.0,22
2024-05-12,SKU_0005,27,0,14.0,22
2024-05-19,SKU_0005,22,0,14.0,22
2024-05-26,SKU_0005,16,141,14.0,22
2024-06-02,SKU_0005,76,0,14.0,22
2024-06-09,SKU_0005,64,0,14.0,22
2024-06-16,SKU_0005,61,0,14.0,22
2024-06-23,SKU_0005,59,0,14.0,22
2024-06-30,SKU_0005,56,0,14.0,22
2024-07-07,SKU_0005,56,0,14.0,22
2024-07-14,SKU_0005,51,0,14.0,22
2024-07-21,SKU_0005,48,0,14.0,22
2024-07-28,SKU_0005,40,0,14.0,22
2024-08-04,SKU_0005,29,0,14.0,22
2024-08-11,SKU_0005,21,152,14.0,22
2024-08-18,SKU_0005,15,175,14.0,22
2024-08-25,SKU_0005,103,0,14.0,22
2024-09-01,SKU_0005,75,0,14.0,22
2024-09-08,SKU_0005,67,0,14.0,22
2024-09-15,SKU_0005,50,0,14.0,22
2024-09-22,SKU_0005,45,0,14.0,22
2024-09-29,SKU_0005,42,0,14.0,22
2024-10-06,SKU_0005,34,0,14.0,22
2024-10-13,SKU_0005,26,0,14.0,22
2024-10-20,SKU_0005,20,58,14.0,22
2024-10-27,SKU_0005,154,0,14.0,22
2024-11-03,SKU_0005,132,0,14.0,22
2024-11-10,SKU_0005,94,0,14.0,22
2024-11-17,SKU_0005,67,0,14.0,22
2024-11-24,SKU_0005,64,0,14.0,22
2024-12-01,SKU_0005,51,0,14.0,22
2024-12-08,SKU_0005,46,0,14.0,22
2024-12-15,SKU_0005,44,0,14.0,22
2024-12-22,SKU_0005,34,0,14.0,22
2024-12-29,SKU_0005,33,0,14.0,22
2023-01-01,SKU_0006,155,0,7.0,44
2023-01-08,SKU_0006,126,0,7.0,44
2023-01-15,SKU_0006,106,0,7.0,44
2023-01-22,SKU_0006,81,0,7.0,44
2023-01-29,SKU_0006,67,0,7.0,44
2023-02-05,SKU_0006,65,0,7.0,44
2023-02-12,SKU_0006,50,0,7.0,44
2023-02-19,SKU_0006,47,0,7.0,44
2023-02-26,SKU_0006,99,0,7.0,44
2023-03-05,SKU_0006,81,0,7.0,44
2023-03-12,SKU_0006,70,0,7.0,44
2023-03-19,SKU_0006,50,0,7.0,44
2023-03-26,SKU_0006,48,0,7.0,44
2023-04-02,SKU_0006,44,0,7.0,44
2023-04-09,SKU_0006,139,0,7.0,44
2023-04-16,SKU_0006,99,0,7.0,44
2023-04-23,SKU_0006,97,0,7.0,44
2023-04-30,SKU_0006,88,0,7.0,44
2023-05-07,SKU_0006,75,0,7.0,44
2023-05-14,SKU_0006,67,0,7.0,44
2023-05-21,SKU_0006,57,0,7.0,44
2023-05-28,SKU_0006,45,0,7.0,44
2023-06-04,SKU_0006,126,0,7.0,44
2023-06-11,SKU_0006,96,0,7.0,44
2023-06-18,SKU_0006,76,0,7.0,44
2023-06-25,SKU_0006,54,0,7.0,44
2023-07-02,SKU_0006,45,0,7.0,44
2023-07-09,SKU_0006,41,114,7.0,44
2023-07-16,SKU_0006,30,129,7.0,44
2023-07-23,SKU_0006,123,0,7.0,44
2023-07-30,SKU_0006,103,0,7.0,44
2023-08-06,SKU_0006,95,0,7.0,44
2023-08-13,SKU_0006,67,0,7.0,44
2023-08-20,SKU_0006,61,0,7.0,44
2023-08-27,SKU_0006,53,0,7.0,44
2023-09-03,SKU_0006,52,0,7.0,44
2023-09-10,SKU_0006,191,0,7.0,44
2023-09-17,SKU_0006,135,0,7.0,44
2023-09-24,SKU_0006,105,0,7.0,44
2023-10-01,SKU_0006,86,0,7.0,44
2023-10-08,SKU_0006,85,0,7.0,44
2023-10-15,SKU_0006,62,0,7.0,44
2023-10-22,SKU_0006,60,0,7.0,44
2023-10-29,SKU_0006,60,0,7.0,44
2023-11-05,SKU_0006,53,0,7.0,44
2023-11-12,SKU_0006,43,130,7.0,44
2023-11-19,SKU_0006,196,0,7.0,44
2023-11-26,SKU_0006,172,0,7.0,44
2023-12-03,SKU_0006,167,0,7.0,44
2023-12-10,SKU_0006,121,0,7.0,44
2023-12-17,SKU_0006,120,0,7.0,44
2023-12-24,SKU_0006,100,0,7.0,44
2023-12-31,SKU_0006,75,0,7.0,44
2024-01-07,SKU_0006,61,0,7.0,44
2024-01-14,SKU_0006,56,0,7.0,44
