sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU_0068,Decor,Mirrors,2023-04-09,3202.2,5465.63
SKU_0069,Decor,Mirrors,2023-05-28,3531.75,8179.51
SKU_0070,Decor,Mirrors,2023-06-01,4446.72,9942.2
SKU_0071,Decor,Mirrors,2023-06-13,4269.55,10344.1
SKU_0072,Decor,Mirrors,2023-04-22,4502.92,9130.64
SKU_0073,Decor,Mirrors,2023-04-03,597.21,1251.87
SKU_0074,Decor,Mirrors,2023-02-23,1491.21,2485.01
SKU_0075,Decor,Mirrors,2023-06-10,2297.28,5727.92
SKU_0076,Decor,Mirrors,2023-02-17,188.57,356.9
SKU_0077,Decor,Mirrors,2023-05-15,3757.81,7814.59
SKU_0078,Decor,Mirrors,2023-06-25,3632.61,6065.27
SKU_0079,Kitchen,Cookware,2023-01-22,2593.19,5351.3
SKU_0080,Kitchen,Cookware,2023-04-19,1295.55,3196.92
SKU_0081,Kitchen,Cookware,2023-01-27,2485.04,5932.58
SKU_0082,Kitchen,Cookware,2023-01-28,3994.58,7602.34
SKU_0083,Kitchen,Cookware,2023-03-02,3377.73,7893.76
SKU_0084,Kitchen,Cookware,2023-02-18,2546.05,5057.49
SKU_0085,Kitchen,Cookware,2023-06-07,313.66,782.1
SKU_0086,Kitchen,Cookware,2023-04-09,4774.25,11447.87
SKU_0087,Kitchen,Cookware,2023-04-03,3763.82,9197.6
SKU_0088,Kitchen,Cookware,2023-04-09,2198.1,5407.29
SKU_0089,Kitchen,Cookware,2023-06-09,4903.62,6818.07
SKU_0090,Kitchen,Utensils,2023-01-18,1415.53,2664.5
SKU_0091,Kitchen,Utensils,2023-02-27,2828.33,6854.13
SKU_0092,Kitchen,Utensils,2023-04-24,4657.08,6447.72
SKU_0093,Kitchen,Utensils,2023-05-07,3113.54,7746.69
SKU_0094,Kitchen,Utensils,2023-01-17,2639.82,6211.09
SKU_0095,Kitchen,Utensils,2023-06-25,4258.48,6234.18
SKU_0096,Kitchen,Utensils,2023-01-26,2808.82,4650.88
SKU_0097,Kitchen,Utensils,2023-01-13,4069.56,9524.75
SKU_0098,Kitchen,Utensils,2023-02-05,499.81,652.86
SKU_0099,Kitchen,Utensils,2023-05-24,4011.65,8344.06
SKU_0100,Kitchen,Storage Jars,2023-04-02,4461.03,7608.71
SKU_0101,Kitchen,Storage Jars,2023-03-27,2936.44,5362.44
SKU_0102,Kitchen,Storage Jars,2023-05-05,1707.95,2538.1
SKU_0103,Kitchen,Storage Jars,2023-02-18,4210.77,9821.56
SKU_0104,Kitchen,Storage Jars,2023-02-23,283.01,647.28
SKU_0105,Kitchen,Storage Jars,2023-01-08,2731.7,4621.99
SKU_0106,Kitchen,Storage Jars,2023-01-05,3872.97,6037.9
SKU_0107,Kitchen,Storage Jars,2023-04-26,2340.6,5407.79
SKU_0108,Kitchen,Storage Jars,2023-06-17,2115.63,4526.21
SKU_0109,Kitchen,Appliances,2023-04-16,750.45,1848.69
SKU_0110,Kitchen,Appliances,2023-03-04,1682.49,3792.71
SKU_0111,Kitchen,Appliances,2023-03-31,2224.25,4877.45
SKU_0112,Kitchen,Appliances,2023-01-23,224.22,550.5
SKU_0113,Kitchen,Appliances,2023-05-09,2198.74,4674.96
SKU_0114,Kitchen,Appliances,2023-02-03,949.14,1412.06
SKU_0115,Kitchen,Appliances,2023-03-30,1274.96,1801.07
SKU_0116,Kitchen,Appliances,2023-01-16,3334.97,5455.75
SKU_0117,Kitchen,Appliances,2023-03-10,2631.81,5496.62
SKU_0118,Kitchen,Appliances,2023-03-17,3097.43,5586.28
SKU_0119,Kitchen,Appliances,2023-03-27,2873.58,4282.71
SKU_0120,Lighting,Lamps,2023-02-16,1775.21,2503.33
SKU_0121,Lighting,Lamps,2023-05-24,299.57,696.97
SKU_0122,Lighting,Lamps,2023-02-08,579.39,1095.01
SKU_0123,Lighting,Lamps,2023-04-11,1796.89,3337.92
SKU_0124,Lighting,Lamps,2023-03-10,2052.67,4185.44
SKU_0125,Lighting,Lamps,2023-05-18,4444.73,7169.67
SKU_0126,Lighting,Lamps,2023-01-01,3166.71,6028.67
SKU_0127,Lighting,Lamps,2023-01-16,2742.95,5817.13
SKU_0128,Lighting,Ceiling Lights,2023-05-08,4725.07,11496.58
SKU_0129,Lighting,Ceiling Lights,2023-05-20,3218.38,7277.21
SKU_0130,Lighting,Ceiling Lights,2023-06-10,2002.03,4148.1
SKU_0131,Lighting,Ceiling Lights,2023-01-12,4074.9,9310.2
SKU_0132,Lighting,Ceiling Lights,2023-03-15,1991.9,4886.98
SKU_0133,Lighting,Ceiling Lights,2023-01-12,1112.75,1812.4
SKU_0134,Lighting,Ceiling Lights,2023-02-04,593.81,784.94
SKU_0135,Lighting,Ceiling Lights,2023-04-03,1749.12,3650.18
SKU_0136,Lighting,Ceiling Lights,2023-06-11,4239.89,5630.26
SKU_0137,Lighting,Ceiling Lights,2023-02-27,1377.4,2610.51
SKU_0138,Lighting,Ceiling Lights,2023-06-06,3514.01,7220.35
SKU_0139,Lighting,Fairy Lights,2023-06-13,3701.85,8381.64
SKU_0140,Lighting,Fairy Lights,2023-06-26,969.45,2133.51
SKU_0141,Lighting,Fairy Lights,2023-04-06,3685.07,5355.25
SKU_0142,Lighting,Fairy Lights,2023-02-06,1769.94,4277.78
SKU_0143,Lighting,Fairy Lights,2023-01-23,1269.12,2685.22
SKU_0144,Lighting,Fairy Lights,2023-01-17,3797.26,5406.34
SKU_0145,Lighting,Fairy Lights,2023-03-27,2718.2,5153.36
SKU_0146,Lighting,Fairy Lights,2023-04-10,1558.41,2212.91
SKU_0147,Lighting,Fairy Lights,2023-03-17,153.1,365.37
SKU_0148,Lighting,Fairy Lights,2023-05-08,1839.04,4502.27
SKU_0149,Lighting,Fairy Lights,2023-05-24,2464.35,4661.64
SKU_0150,Lighting,Candle Holders,2023-06-29,549.35,1111.3
SKU_0151,Lighting,Candle Holders,2023-05-31,3395.34,7479.42
SKU_0152,Lighting,Candle Holders,2023-02-11,3928.35,5641.73
SKU_0153,Lighting,Candle Holders,2023-05-02,4873.82,12160.75
SKU_0154,Lighting,Candle Holders,2023-03-16,2263.5,5353.73
SKU_0155,Lighting,Candle Holders,2023-03-15,673.63,991.31
SKU_0156,Lighting,Candle Holders,2023-01-07,4201.12,9831.64
SKU_0157,Lighting,Candle Holders,2023-05-17,2187.85,3428.56
SKU_0158,Storage,Shelves,2023-01-29,4470.29,6597.82
SKU_0159,Storage,Shelves,2023-04-19,515.7,1280.98
SKU_0160,Storage,Shelves,2023-03-12,1916.15,4359.93
SKU_0161,Storage,Shelves,2023-03-11,4931.41,10869.09
SKU_0162,Storage,Shelves,2023-04-18,3570.09,6704.63
SKU_0163,Storage,Shelves,2023-03-31,2836.18,5130.84
SKU_0164,Storage,Shelves,2023-06-22,1718.24,3129.5
SKU_0165,Storage,Shelves,2023-02-27,155.63,289.84
SKU_0166,Storage,Shelves,2023-05-07,3730.77,8284.67
SKU_0167,Storage,Baskets,2023-04-02,3746.64,7932.56
SKU_0168,Storage,Baskets,2023-04-23,4814.65,8424.89
SKU_0169,Storage,Baskets,2023-04-27,506.17,978.96
SKU_0170,Storage,Baskets,2023-06-09,4819.79,6336.03
SKU_0171,Storage,Baskets,2023-03-21,2824.42,4765.43
SKU_0172,Storage,Baskets,2023-06-13,2685.74,6691.68
SKU_0173,Storage,Baskets,2023-05-26,2813.89,6931.07
SKU_0174,Storage,Baskets,2023-05-23,914.46,1426.71
SKU_0175,Storage,Boxes,2023-01-03,4979.57,10637.91
SKU_0176,Storage,Boxes,2023-01-12,4515.67,6116.64
SKU_0177,Storage,Boxes,2023-04-12,4797.64,6570.06
SKU_0178,Storage,Boxes,2023-01-08,2332.72,4768.45
SKU_0179,Storage,Boxes,2023-05-16,931.43,1933.85
SKU_0180,Storage,Boxes,2023-04-11,1831.43,3663.57
SKU_0181,Storage,Boxes,2023-05-25,4874.53,12105.67
SKU_0182,Storage,Boxes,2023-06-06,1470.84,2637.88
SKU_0183,Storage,Boxes,2023-05-14,752.61,1047.21
SKU_0184,Storage,Boxes,2023-02-16,4754.02,10320.33
SKU_0185,Storage,Hooks,2023-04-19,2149.39,5199.96
SKU_0186,Storage,Hooks,2023-04-28,907.69,1627.95
SKU_0187,Storage,Hooks,2023-06-26,4071.71,10117.11
SKU_0188,Storage,Hooks,2023-03-27,1946.02,4280.26
SKU_0189,Storage,Hooks,2023-06-10,4162.9,8254.61
SKU_0190,Storage,Hooks,2023-05-09,2396.6,4308.57
SKU_0191,Storage,Hooks,2023-04-05,166.99,232.19
SKU_0192,Storage,Hooks,2023-01-23,3774.56,9043.09
